,MD,Hook_load,WOB,RPM,Torque,Intake_pressure,ROP
364,2918.83,68.29,5.71,69.73,1.98,127.66,20.48
365,2918.89,68.68,5.32,69.82,1.92,126.3,20.48
366,2918.89,67.53,6.47,69.64,2.0,126.87,20.48
367,2918.96,67.87,6.13,69.64,2.19,127.57,20.48
368,2918.96,68.39,5.61,69.73,2.11,126.95,20.48
369,2919.02,68.23,5.77,69.73,2.11,126.46,19.94
370,2919.08,67.66,6.34,69.82,2.06,127.0,19.94
371,2919.08,67.26,6.74,69.91,1.81,127.66,19.94
372,2919.15,67.24,6.76,70.0,1.67,128.46,19.94
373,2919.21,67.09,6.91,70.0,1.68,128.69,19.94
374,2919.27,66.42,7.58,70.0,1.63,129.07,19.94
375,2919.27,66.23,7.77,70.0,1.58,129.88,19.94
376,2919.27,66.44,7.56,70.0,1.55,130.24,19.94
377,2919.34,66.78,7.22,69.91,1.73,129.98,19.94
378,2919.34,66.91,7.09,70.0,1.58,129.68,19.94
379,2919.4,66.98,7.02,69.91,1.84,129.18,19.94
380,2919.46,67.0,7.0,69.73,1.85,129.53,19.94
381,2919.46,66.87,7.13,69.64,1.96,129.62,19.94
382,2919.53,66.57,7.43,69.82,1.9,129.79,19.94
383,2919.53,66.23,7.77,69.73,1.86,130.19,19.94
384,2919.59,66.14,7.86,69.64,2.01,130.15,19.94
385,2919.59,66.16,7.85,69.64,2.21,130.3,19.94
386,2919.59,66.7,7.3,69.91,2.19,130.22,19.94
387,2919.65,67.29,6.71,69.73,2.31,129.72,19.94
388,2919.65,67.99,6.01,69.82,2.14,129.02,19.94
389,2919.65,68.54,5.46,69.73,2.21,127.66,19.94
390,2919.65,68.88,5.12,69.73,2.19,126.72,19.94
391,2919.72,68.66,5.34,69.82,2.04,125.95,19.94
392,2919.72,68.69,5.31,69.91,1.75,126.27,19.94
393,2919.78,68.56,5.44,69.91,1.79,126.38,19.94
394,2919.78,68.16,5.84,69.82,1.84,126.47,19.94
395,2919.84,68.0,6.0,69.82,1.75,127.08,19.94
396,2919.91,67.9,6.1,69.82,1.77,127.35,19.94
397,2919.97,67.53,6.47,69.73,1.86,127.74,19.94
398,2919.97,66.9,7.1,69.64,2.11,128.63,19.94
399,2920.03,67.13,6.87,69.55,2.0,129.06,24.0
400,2920.03,67.23,6.77,69.64,2.09,129.14,24.0
401,2920.03,67.51,6.49,69.73,1.99,128.39,24.0
402,2920.1,67.53,6.47,69.91,1.98,128.15,24.0
403,2920.1,67.73,6.27,69.73,2.06,127.94,24.0
404,2920.22,66.7,7.3,69.73,1.99,128.42,24.0
405,2920.22,65.81,8.19,69.91,1.86,129.82,24.0
406,2920.29,65.71,8.29,69.91,1.7,130.92,24.0
407,2920.29,66.17,7.83,69.91,1.58,131.09,24.0
408,2920.35,66.84,7.16,69.82,1.73,130.3,24.0
409,2920.35,66.92,7.08,69.91,1.6,129.53,24.0
410,2920.42,67.42,6.58,69.82,1.62,129.33,24.0
411,2920.42,66.8,7.2,69.82,1.77,129.32,24.0
412,2920.48,67.07,6.93,69.82,1.86,129.05,24.0
413,2920.48,67.26,6.74,69.82,2.11,128.46,24.0
414,2920.54,67.03,6.97,69.73,2.06,128.1,24.0
415,2920.54,67.3,6.7,69.55,2.25,128.11,24.0
416,2920.54,68.01,5.99,69.55,2.01,127.7,24.0
417,2920.54,68.24,5.76,69.73,1.97,126.5,24.0
418,2920.6,68.44,5.56,69.73,2.11,125.68,24.0
419,2920.6,68.75,5.25,69.73,2.15,125.28,24.0
420,2920.6,68.52,5.48,69.73,2.05,124.88,24.0
421,2920.67,68.04,5.96,69.91,1.82,125.08,24.0
422,2920.73,67.93,6.07,69.91,1.82,125.82,24.0
423,2920.73,68.07,5.93,69.91,1.83,126.32,24.0
424,2920.73,68.2,5.8,70.0,1.83,126.33,24.0
425,2920.79,67.85,6.15,70.0,1.67,126.28,24.0
426,2920.86,67.6,6.4,69.91,1.99,126.75,24.0
427,2920.92,67.35,6.65,69.91,1.7,127.34,24.0
428,2920.92,66.91,7.09,69.82,1.76,127.87,24.0
429,2920.92,66.95,7.05,69.91,1.85,128.2,24.0
430,2920.99,67.15,6.85,69.82,1.68,128.04,24.0
431,2920.99,67.29,6.71,69.82,1.84,127.69,24.0
432,2921.05,66.59,7.41,69.82,1.88,127.87,22.52
433,2921.11,66.48,7.52,69.64,2.09,128.36,22.52
434,2921.11,66.35,7.65,69.82,2.0,128.62,22.52
435,2921.18,66.49,7.51,69.64,2.17,128.52,22.52
436,2921.18,66.77,7.23,69.64,2.2,128.33,22.52
437,2921.18,66.72,7.28,69.82,1.95,128.85,22.52
438,2921.3,66.34,7.66,69.73,2.16,128.57,22.52
439,2921.3,66.15,7.85,69.82,2.12,129.11,22.52
440,2921.3,66.07,7.93,69.73,2.1,129.48,22.52
441,2921.36,66.14,7.86,69.73,2.17,129.3,22.52
442,2921.36,66.6,7.4,69.82,2.07,128.93,22.52
443,2921.36,67.21,6.79,69.91,2.06,128.51,22.52
444,2921.43,67.32,6.68,69.91,2.0,128.04,22.52
445,2921.43,66.78,7.22,70.0,1.8,127.55,22.52
